Date, Median single-family home prices in King County
2009-10-24, 362082.51
2009-11-01, 363261.30
2009-11-09, 363850.69
2009-11-18, 364440.08
2009-11-26, 365029.47
2009-12-04, 366208.25
2009-12-12, 371512.77
2009-12-21, 372691.55
2009-12-29, 373280.94
2010-01-06, 373280.94
2010-01-14, 371512.77
2010-01-22, 369155.21
2010-01-31, 366797.64
2010-02-08, 365029.47
2010-02-16, 363850.69
2010-02-24, 365029.47
2010-03-04, 366208.25
2010-03-13, 367387.03
2010-03-21, 366797.64
2010-03-29, 366797.64
2010-04-06, 365618.86
2010-04-14, 364440.08
2010-04-23, 361493.12
2010-05-01, 361493.12
2010-05-09, 360314.34
2010-05-17, 360314.34
2010-05-26, 360903.73
2010-06-03, 363850.69
2010-06-11, 363850.69
2010-06-19, 364440.08
2010-06-27, 363261.30
2010-07-06, 362082.51
2010-07-14, 362082.51
2010-07-22, 361493.12
2010-07-30, 360903.73
2010-08-07, 359724.95
2010-08-16, 358546.17
2010-08-24, 356778.00
2010-09-01, 356778.00
2010-09-09, 357956.78
2010-09-18, 359135.56
2010-09-26, 360903.73
2010-10-04, 363261.30
2010-10-12, 364440.08
2010-10-20, 365618.86
2010-10-29, 366797.64
2010-11-06, 367976.42
2010-11-14, 370333.99
2010-11-22, 371512.77
2010-11-30, 373280.94
2010-12-09, 375638.51
2010-12-17, 375638.51
2010-12-25, 375638.51
2011-01-02, 372691.55
2011-01-10, 370923.38
2011-01-19, 369744.60
2011-01-27, 367976.42
2011-02-04, 367387.03
2011-02-12, 366797.64
2011-02-21, 365618.86
2011-03-01, 363850.69
2011-03-09, 360903.73
2011-03-17, 357956.78
2011-03-25, 355009.82
2011-04-03, 352062.87
2011-04-11, 351473.48
2011-04-19, 351473.48
2011-04-27, 352062.87
2011-05-05, 352062.87
2011-05-14, 352062.87
2011-05-22, 349115.91
2011-05-30, 344990.18
2011-06-07, 339096.27
2011-06-16, 333791.75
2011-06-24, 329666.01
2011-07-02, 327897.84
2011-07-10, 327897.84
2011-07-18, 328487.23
2011-07-27, 331434.18
2011-08-04, 334381.14
2011-08-12, 336149.31
2011-08-20, 337328.09
2011-08-28, 337328.09
2011-09-06, 337328.09
2011-09-14, 336149.31
2011-09-22, 334970.53
2011-09-30, 334970.53
2011-10-09, 334970.53
2011-10-17, 334970.53
2011-10-25, 334970.53
2011-11-02, 336149.31
2011-11-10, 337328.09
2011-11-19, 338506.88
2011-11-27, 339096.27
2011-12-05, 339096.27
2011-12-13, 339096.27
2011-12-21, 339096.27
2011-12-30, 339096.27
2012-01-07, 334970.53
2012-01-15, 330255.40
2012-01-23, 320825.15
2012-01-31, 318467.58
2012-02-09, 315520.63
2012-02-17, 313163.06
2012-02-25, 313163.06
2012-03-04, 313163.06
2012-03-13, 313163.06
2012-03-21, 313163.06
2012-03-29, 312573.67
2012-04-06, 310805.50
2012-04-14, 310216.11
2012-04-23, 309037.33
2012-05-01, 307858.55
2012-05-09, 305500.98
2012-05-17, 303732.81
2012-05-25, 303143.42
2012-06-03, 303732.81
2012-06-11, 304911.59
2012-06-19, 308447.94
2012-06-27, 313752.46
2012-07-06, 321414.54
2012-07-14, 327897.84
2012-07-22, 334381.14
2012-07-30, 342632.61
2012-08-07, 347347.74
2012-08-16, 350294.70
2012-08-24, 352652.26
2012-09-01, 353831.04
2012-09-09, 355599.21
2012-09-17, 360314.34
2012-09-26, 363850.69
2012-10-04, 363850.69
2012-10-12, 364440.08
2012-10-20, 364440.08
2012-10-29, 364440.08
2012-11-06, 365029.47
2012-11-14, 365029.47
2012-11-22, 365029.47
2012-11-30, 364440.08
2012-12-09, 363261.30
2012-12-17, 362082.51
2012-12-25, 360903.73
2013-01-02, 360314.34
2013-01-10, 359724.95
2013-01-19, 361493.12
2013-01-27, 362082.51
2013-02-04, 365029.47
2013-02-12, 366797.64
2013-02-20, 366797.64
2013-03-01, 362082.51
2013-03-09, 357956.78
2013-03-17, 349115.91
2013-03-25, 346168.96
2013-04-03, 343811.39
2013-04-11, 343222.00
2013-04-19, 344990.18
2013-04-27, 349705.30
2013-05-05, 352652.26
2013-05-14, 356778.00
2013-05-22, 365029.47
2013-05-30, 372691.55
2013-06-07, 378585.46
2013-06-15, 381532.42
2013-06-24, 384479.37
2013-07-02, 386836.94
2013-07-10, 389783.89
2013-07-18, 393320.24
2013-07-27, 399803.54
2013-08-04, 403339.88
2013-08-12, 406286.84
2013-08-20, 408055.01
2013-08-28, 411001.96
2013-09-06, 413359.53
2013-09-14, 414538.31
2013-09-22, 414538.31
2013-09-30, 414538.31
2013-10-08, 413359.53
2013-10-17, 410412.57
2013-10-25, 409233.79
2013-11-02, 406876.23
2013-11-10, 405108.06
2013-11-19, 405108.06
2013-11-27, 406286.84
2013-12-05, 406286.84
2013-12-13, 405697.45
2013-12-21, 403339.88
2013-12-30, 401571.71
2014-01-07, 400392.93
2014-01-15, 400392.93
2014-01-23, 400392.93
2014-01-31, 401571.71
2014-02-09, 400392.93
2014-02-17, 398624.75
2014-02-25, 396856.58
2014-03-05, 395677.80
2014-03-13, 393909.63
2014-03-22, 393320.24
2014-03-30, 393320.24
2014-04-07, 393320.24
2014-04-15, 393909.63
2014-04-24, 397445.97
2014-05-02, 399803.54
2014-05-10, 400982.32
2014-05-18, 406876.23
2014-05-26, 409823.18
2014-06-04, 415127.70
2014-06-12, 418664.05
2014-06-20, 422200.39
2014-06-28, 422789.78
2014-07-06, 426326.13
2014-07-15, 429862.48
2014-07-23, 433988.21
2014-07-31, 436345.78
2014-08-08, 437524.56
2014-08-17, 438113.95
2014-08-25, 433988.21
2014-09-02, 428094.30
2014-09-10, 425736.74
2014-09-18, 425736.74
2014-09-27, 425736.74
2014-10-05, 429273.08
2014-10-13, 432220.04
2014-10-21, 432809.43
2014-10-29, 432809.43
2014-11-07, 431041.26
2014-11-15, 428683.69
2014-11-23, 425736.74
2014-12-01, 423968.57
2014-12-10, 422789.78
