Date,Real Home Price Index
1965-09-01,108.4505316
1965-10-01,108.7792028
1965-11-01,109.3381915
1965-12-01,109.3286993
1966-01-01,109.6630378
1966-02-01,108.7561445
1966-03-01,108.4173404
1966-04-01,107.8557466
1966-05-01,108.0751886
1966-06-01,107.9603879
1966-07-01,107.7372479
1966-08-01,106.7531679
1966-09-01,106.7531679
1966-10-01,106.5350925
1966-11-01,106.5350925
1966-12-01,106.9659726
1967-01-01,106.9659726
1967-02-01,106.9659726
1967-03-01,105.8900782
1967-04-01,105.9984451
1967-05-01,106.3196525
1967-06-01,106.2132264
1967-07-01,105.8952228
1967-08-01,106.2138618
1967-09-01,105.8977491
1967-10-01,106.0041639
1967-11-01,106.0050973
1967-12-01,106.2151101
1968-01-01,105.4882183
1968-02-01,105.6979002
1968-03-01,105.1830965
1968-04-01,104.8773316
1968-05-01,104.2651665
1968-06-01,104.4812724
1968-07-01,104.2887136
1968-08-01,104.2945163
1968-09-01,103.9973809
1968-10-01,104.1109345
1968-11-01,105.0181878
1968-12-01,105.6208379
1969-01-01,105.8219013
1969-02-01,105.725688
1969-03-01,105.730624
1969-04-01,105.2457166
1969-05-01,105.4433916
1969-06-01,105.1576891
1969-07-01,105.5492202
1969-08-01,105.6491682
1969-09-01,106.1286019
1969-10-01,106.4146656
1969-11-01,106.3196525
1969-12-01,106.4136575
1970-01-01,107.1634593
1970-02-01,107.3455439
1970-03-01,107.3401727
1970-04-01,106.964014
1970-05-01,107.5132237
1970-06-01,107.6897511
1970-07-01,107.4101105
1970-08-01,108.409697
1970-09-01,108.9414807
1970-10-01,108.9281719
1970-11-01,109.0044922
1970-12-01,109.0800455
1971-01-01,109.3471803
1971-02-01,108.8066619
1971-03-01,108.5346453
1971-04-01,108.6175004
1971-05-01,108.8699171
1971-06-01,109.2002342
1971-07-01,109.1060808
1971-08-01,109.1861137
1971-09-01,109.4467011
1971-10-01,109.5257056
1971-11-01,110.3922064
1971-12-01,110.1137034
1972-01-01,110.4586171
1972-02-01,110.1811411
1972-03-01,109.8293995
1972-04-01,109.735545
1972-05-01,109.8125257
1972-06-01,110.2290882
1972-07-01,110.8025018
1972-08-01,110.9605897
1972-09-01,110.6128451
1972-10-01,110.0060707
1972-11-01,109.8302071
1972-12-01,109.655171
1973-01-01,109.1481879
1973-02-01,108.3849138
1973-03-01,107.4655148
1973-04-01,106.7260732
1973-05-01,106.2389238
1973-06-01,105.7583874
1973-07-01,105.4396554
1973-08-01,104.512297
1973-09-01,104.6731092
1973-10-01,104.5321145
1973-11-01,104.3121645
1973-12-01,104.3252002
1974-01-01,104.2662687
1974-02-01,103.7667795
1974-03-01,103.5763979
1974-04-01,103.513995
1974-05-01,102.7464955
1974-06-01,102.4863589
1974-07-01,102.1586945
1974-08-01,101.8542271
1974-09-01,101.6270196
1974-10-01,101.4648739
1974-11-01,101.4337656
1974-12-01,102.2225561
1975-01-01,103.7748239
1975-02-01,103.1512613
1975-03-01,103.0034078
1975-04-01,102.7636407
1975-05-01,102.4858001
1975-06-01,101.6690842
1975-07-01,101.1160331
1975-08-01,101.540604
1975-09-01,101.9859317
1975-10-01,102.1418747
1975-11-01,102.0917921
1975-12-01,102.0670215
1976-01-01,102.3606536
1976-02-01,102.2468558
1976-03-01,102.929024
1976-04-01,103.538494
1976-05-01,103.9605533
1976-06-01,103.7053019
1976-07-01,104.0373173
1976-08-01,104.1794746
1976-09-01,104.5644167
1976-10-01,104.3589282
1976-11-01,104.7803367
1976-12-01,105.2916
1977-01-01,105.6367961
1977-02-01,105.7989398
1977-03-01,106.5836989
1977-04-01,107.5641985
1977-05-01,108.3455368
1977-06-01,108.4352834
1977-07-01,109.0104451
1977-08-01,109.7555332
1977-09-01,110.8407724
1977-10-01,111.8842288
1977-11-01,112.4930773
1977-12-01,113.1403472
1978-01-01,113.5426025
1978-02-01,114.0826172
1978-03-01,114.7590218
1978-04-01,115.3511728
1978-05-01,115.850591
1978-06-01,116.3297379
1978-07-01,117.0695801
1978-08-01,118.0774024
1978-09-01,118.4251755
1978-10-01,118.5110351
1978-11-01,119.2280097
1978-12-01,120.0998207
1979-01-01,120.6205894
1979-02-01,120.7166601
1979-03-01,121.1001023
1979-04-01,121.2856832
1979-05-01,121.3211624
1979-06-01,121.4999337
1979-07-01,121.5138001
1979-08-01,121.5702643
1979-09-01,121.2819293
1979-10-01,121.3755829
1979-11-01,121.1160156
1979-12-01,120.5752878
1980-01-01,119.478311
1980-02-01,118.498704
1980-03-01,117.7198459
1980-04-01,117.5054871
1980-05-01,117.1802681
1980-06-01,116.6087856
1980-07-01,117.4186228
1980-08-01,117.2561453
1980-09-01,116.8368688
1980-10-01,116.1963919
1980-11-01,115.7030535
1980-12-01,115.0891781
1981-01-01,114.5247137
1981-02-01,113.8146184
1981-03-01,113.7151348
1981-04-01,113.9532
1981-05-01,113.8488555
1981-06-01,113.5733428
1981-07-01,112.9127746
1981-08-01,112.6313699
1981-09-01,111.75265
1981-10-01,111.6599705
1981-11-01,111.3093187
1981-12-01,111.0451285
1982-01-01,110.7667358
1982-02-01,110.5941549
